               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090204,            0.075142,            0.032339,             0.46237,             0.15265,             0.13405,            0.053055,             0.07106,            0.084146,            0.023724,             0.07004,           0.0033289,           0.0033289
                   1,            0.071596,            0.069349,            0.018585,             0.63092,               0.182,             0.17373,            0.072677,            0.064733,             0.08483,            0.020075,            0.039908,           0.0065303,           0.0065303
                   2,             0.06831,            0.069734,            0.016343,             0.36998,             0.29766,             0.22009,            0.095858,            0.062615,            0.084716,            0.017914,           0.0096445,           0.0095997,           0.0095997
                   3,            0.064059,            0.068483,            0.014679,             0.46258,             0.35023,              0.3352,             0.14535,            0.058784,            0.083188,            0.016216,            0.009406,            0.009406,            0.009406
                   4,            0.059923,            0.067158,            0.013453,             0.52292,             0.33999,             0.35133,             0.17533,            0.055259,             0.08315,            0.015479,            0.009406,            0.009406,            0.009406
                   5,            0.057963,            0.067193,            0.012811,             0.53253,             0.37448,              0.3951,             0.20507,            0.053572,            0.083259,            0.014496,            0.009208,            0.009208,            0.009208
                   6,            0.056193,             0.06688,            0.011933,             0.53766,             0.38518,             0.39887,             0.20235,            0.053844,            0.082211,            0.014208,             0.00901,             0.00901,             0.00901
                   7,            0.055221,            0.066045,            0.011762,             0.58748,              0.3747,             0.41497,             0.21272,             0.05387,            0.082969,             0.01371,            0.008812,            0.008812,            0.008812
                   8,            0.053886,            0.065017,            0.011126,             0.54275,             0.40219,             0.42051,              0.2209,            0.052154,            0.082159,            0.013519,            0.008614,            0.008614,            0.008614
                   9,            0.053404,            0.065511,            0.011173,             0.60708,             0.38796,             0.43256,             0.21995,            0.051818,            0.082259,            0.013054,            0.008416,            0.008416,            0.008416
                  10,            0.052572,            0.064409,            0.010593,             0.56515,             0.40708,              0.4311,             0.22164,            0.051358,            0.081498,            0.012876,            0.008218,            0.008218,            0.008218
