               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10107,            0.076735,            0.038167,             0.65139,            0.099946,            0.077898,            0.024163,            0.080854,             0.09618,            0.031033,            0.070638,           0.0032624,           0.0032624
                   1,            0.079856,            0.069057,            0.021367,             0.45836,             0.17127,             0.13818,            0.050407,            0.076192,            0.088131,            0.021816,            0.040617,            0.006574,            0.006574
                   2,            0.073277,             0.06742,            0.017415,             0.19924,             0.26809,             0.19166,            0.083031,            0.065501,            0.086861,             0.01866,            0.010573,           0.0098635,           0.0098635
                   3,            0.066478,            0.068417,            0.015267,             0.46396,             0.32489,             0.30646,             0.14675,            0.057808,            0.085688,            0.016449,            0.009901,            0.009901,            0.009901
                   4,            0.061185,            0.068139,            0.013746,              0.4935,             0.35699,             0.36724,             0.18534,            0.055837,            0.085604,            0.015725,            0.009901,            0.009901,            0.009901
                   5,            0.058066,            0.067271,            0.012616,             0.50717,              0.3693,             0.37335,               0.184,            0.055167,            0.084778,            0.015034,            0.009868,            0.009868,            0.009868
                   6,            0.057528,             0.06619,            0.012007,              0.4788,             0.38166,              0.3763,             0.19044,             0.05384,            0.083364,            0.014602,            0.009835,            0.009835,            0.009835
                   7,            0.056325,            0.066552,            0.011454,             0.56738,             0.37957,             0.40765,             0.20265,            0.053586,            0.083447,            0.013827,            0.009802,            0.009802,            0.009802
                   8,            0.055553,             0.06675,            0.011209,             0.56628,             0.38926,             0.41139,             0.20707,            0.055459,            0.085159,             0.01414,            0.009769,            0.009769,            0.009769
                   9,            0.054453,            0.065583,            0.010973,             0.59215,             0.38801,             0.41468,             0.21151,            0.053659,            0.082941,            0.013662,            0.009736,            0.009736,            0.009736
                  10,            0.053897,            0.064745,            0.010497,             0.54527,             0.39172,             0.41524,               0.214,            0.053812,            0.083334,            0.013934,            0.009703,            0.009703,            0.009703
                  11,            0.053405,            0.064201,             0.01042,             0.68543,               0.384,             0.43727,             0.23618,            0.052621,            0.082663,            0.013303,             0.00967,             0.00967,             0.00967
