               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10553,             0.11649,            0.047107,           0.0014483,            0.026931,           0.0011037,          0.00031096,             0.10508,             0.13655,            0.043784,            0.070161,           0.0033154,           0.0033154
                   1,             0.09611,            0.097197,            0.032546,             0.74073,            0.023827,            0.016009,           0.0045232,            0.093725,             0.12235,             0.03459,            0.040095,           0.0065829,           0.0065829
                   2,            0.090277,            0.089737,            0.026308,             0.77539,            0.042487,            0.037263,            0.012239,            0.085498,             0.11725,            0.030056,           0.0099636,           0.0097844,           0.0097844
                   3,            0.084306,            0.088785,            0.023646,             0.79292,            0.056882,            0.053801,            0.017079,            0.082023,             0.11127,            0.028641,            0.009703,            0.009703,            0.009703
                   4,            0.079555,            0.087597,             0.02185,             0.80088,            0.064995,            0.069125,            0.023325,            0.079995,             0.10872,            0.026318,            0.009703,            0.009703,            0.009703
                   5,            0.075983,            0.084754,             0.02066,             0.73149,            0.097862,            0.098576,            0.036433,            0.075426,             0.10809,            0.024626,            0.009604,            0.009604,            0.009604
                   6,            0.073227,            0.083689,            0.019861,             0.58662,             0.12302,             0.12399,            0.048603,            0.072025,             0.10388,            0.022972,            0.009505,            0.009505,            0.009505
                   7,            0.071102,            0.082612,            0.018828,             0.25229,             0.17808,             0.14319,            0.057026,            0.069405,             0.10125,            0.021533,            0.009406,            0.009406,            0.009406
                   8,            0.069717,            0.082319,            0.018123,              0.3962,             0.18251,             0.15809,            0.062682,            0.068766,             0.10103,            0.022026,            0.009307,            0.009307,            0.009307
                   9,            0.067807,            0.080468,            0.017735,             0.37242,              0.2105,             0.16959,            0.068111,            0.066972,              0.1006,            0.021984,            0.009208,            0.009208,            0.009208
                  10,            0.066538,            0.078605,            0.016903,             0.41799,             0.21727,              0.1879,             0.07758,            0.066874,             0.09985,            0.019853,            0.009109,            0.009109,            0.009109
                  11,            0.065143,            0.077354,            0.016652,             0.43407,             0.24653,             0.20734,            0.088662,            0.064468,             0.09687,            0.018556,             0.00901,             0.00901,             0.00901
                  12,            0.064401,             0.07732,            0.015702,             0.44312,             0.25137,             0.21715,            0.094677,            0.063531,            0.095624,             0.01946,            0.008911,            0.008911,            0.008911
                  13,            0.062973,            0.077054,            0.015135,             0.46889,             0.24349,             0.22576,             0.10064,            0.063562,            0.096188,            0.018547,            0.008812,            0.008812,            0.008812
                  14,            0.062295,            0.076266,            0.015327,             0.47315,              0.2739,             0.24316,             0.10354,            0.062561,            0.094525,            0.018011,            0.008713,            0.008713,            0.008713
                  15,            0.061641,            0.075173,            0.015089,             0.47822,             0.26646,             0.24656,             0.11188,            0.061662,            0.094653,            0.017855,            0.008614,            0.008614,            0.008614
                  16,            0.060889,            0.074828,            0.014773,             0.37712,             0.28539,             0.25652,             0.11863,            0.060537,            0.093678,             0.01735,            0.008515,            0.008515,            0.008515
                  17,            0.060233,            0.073983,            0.014048,             0.38535,             0.29969,             0.26587,             0.12144,            0.061062,            0.092863,            0.016956,            0.008416,            0.008416,            0.008416
                  18,            0.059702,            0.073893,            0.014126,             0.41117,             0.28663,             0.26642,             0.12278,            0.060539,            0.093151,            0.017533,            0.008317,            0.008317,            0.008317
                  19,            0.059266,            0.073522,            0.013856,             0.39802,             0.30019,             0.27332,             0.12681,            0.059703,            0.092145,            0.016864,            0.008218,            0.008218,            0.008218
                  20,            0.058817,            0.073027,              0.0134,             0.41521,             0.29949,             0.28204,             0.13343,             0.05918,            0.091786,            0.016855,            0.008119,            0.008119,            0.008119
                  21,            0.057839,            0.071867,            0.013327,             0.41662,             0.31134,             0.28685,             0.13596,             0.05913,            0.091084,            0.016766,             0.00802,             0.00802,             0.00802
                  22,             0.05797,            0.071746,             0.01328,             0.45238,             0.29522,             0.28684,              0.1392,            0.058999,            0.091172,            0.016128,            0.007921,            0.007921,            0.007921
                  23,            0.057696,            0.071907,             0.01295,             0.41205,             0.30452,             0.28598,             0.13404,            0.058627,             0.09197,            0.016312,            0.007822,            0.007822,            0.007822
                  24,            0.057091,            0.072655,            0.013158,             0.43163,             0.31712,             0.29756,             0.14386,            0.058271,            0.090587,             0.01615,            0.007723,            0.007723,            0.007723
                  25,            0.056748,            0.071727,            0.012648,             0.44493,             0.31675,              0.3038,             0.14643,            0.057494,            0.089811,            0.016053,            0.007624,            0.007624,            0.007624
                  26,            0.056481,            0.070733,            0.012645,             0.41917,             0.31789,             0.30121,             0.14927,            0.057579,             0.08998,            0.015743,            0.007525,            0.007525,            0.007525
                  27,            0.055926,            0.071681,            0.012376,             0.44728,              0.3235,             0.30939,             0.15522,            0.057313,            0.089898,            0.015498,            0.007426,            0.007426,            0.007426
                  28,            0.055715,            0.070186,            0.012439,             0.45954,             0.32971,             0.31945,             0.16023,            0.056904,            0.089225,            0.015404,            0.007327,            0.007327,            0.007327
                  29,            0.055058,            0.069631,            0.012154,             0.46911,             0.32119,             0.31779,             0.15816,            0.057241,            0.089814,            0.015153,            0.007228,            0.007228,            0.007228
                  30,            0.055121,             0.07087,            0.012005,              0.4793,             0.32217,               0.321,             0.16113,            0.056517,            0.088744,            0.015112,            0.007129,            0.007129,            0.007129
                  31,            0.054773,            0.070313,             0.01175,              0.4475,              0.3285,             0.32354,             0.16171,            0.056547,            0.088559,            0.015177,             0.00703,             0.00703,             0.00703
                  32,            0.054719,            0.070025,            0.011759,             0.46233,               0.322,             0.32638,             0.16622,            0.056197,            0.088359,            0.015654,            0.006931,            0.006931,            0.006931
                  33,             0.05405,            0.068875,            0.011745,             0.49842,              0.3324,             0.33703,             0.17314,            0.056052,            0.088099,            0.014998,            0.006832,            0.006832,            0.006832
                  34,            0.054391,              0.0697,            0.011714,             0.46595,             0.33323,              0.3351,              0.1731,             0.05602,            0.087847,            0.015079,            0.006733,            0.006733,            0.006733
                  35,            0.054058,            0.067756,            0.011124,              0.4922,             0.33027,             0.33375,             0.16666,             0.05591,            0.088106,            0.015362,            0.006634,            0.006634,            0.006634
                  36,            0.053642,            0.069632,            0.011419,             0.48283,             0.33836,             0.34301,             0.17656,            0.055669,            0.087883,            0.014533,            0.006535,            0.006535,            0.006535
                  37,            0.053405,            0.069481,            0.011292,             0.48078,              0.3343,              0.3371,             0.17594,            0.055355,            0.087364,            0.015064,            0.006436,            0.006436,            0.006436
                  38,            0.053448,            0.068839,            0.011239,             0.46422,             0.34868,               0.343,             0.17775,            0.055035,            0.087168,            0.014716,            0.006337,            0.006337,            0.006337
                  39,            0.052911,             0.06792,            0.010973,               0.466,             0.35333,             0.34625,              0.1796,            0.055329,            0.087658,            0.015185,            0.006238,            0.006238,            0.006238
                  40,            0.053018,            0.068106,            0.010988,             0.48727,              0.3368,             0.35159,             0.18515,            0.055032,              0.0875,            0.014894,            0.006139,            0.006139,            0.006139
                  41,             0.05272,            0.068256,            0.010869,             0.51859,             0.32912,              0.3542,             0.18127,            0.054889,             0.08714,            0.014461,             0.00604,             0.00604,             0.00604
                  42,             0.05259,              0.0676,            0.010788,                0.51,             0.33007,             0.35487,             0.18524,            0.054683,            0.087009,            0.014493,            0.005941,            0.005941,            0.005941
                  43,            0.052298,            0.067414,            0.010841,             0.51148,             0.32975,             0.35175,             0.18458,            0.054919,            0.087224,            0.014735,            0.005842,            0.005842,            0.005842
                  44,            0.052201,            0.067615,            0.010816,             0.46249,             0.35729,             0.36008,             0.18811,            0.054684,            0.086986,            0.014553,            0.005743,            0.005743,            0.005743
                  45,            0.051692,            0.066053,            0.010548,              0.4833,             0.35737,             0.36258,             0.19167,            0.054726,            0.087111,            0.014355,            0.005644,            0.005644,            0.005644
                  46,            0.052169,            0.068229,            0.010615,             0.49953,             0.34566,             0.35977,             0.18806,            0.054522,            0.087203,            0.014678,            0.005545,            0.005545,            0.005545
                  47,            0.051579,            0.066512,            0.010394,             0.53726,             0.34863,              0.3675,              0.1915,             0.05434,            0.086388,             0.01427,            0.005446,            0.005446,            0.005446
                  48,            0.051662,            0.067096,            0.010373,             0.54587,             0.34853,             0.36898,              0.1951,            0.054382,            0.086816,            0.014531,            0.005347,            0.005347,            0.005347
                  49,            0.051613,            0.066439,            0.010354,             0.50757,             0.34985,             0.36763,             0.19286,             0.05435,             0.08668,            0.014759,            0.005248,            0.005248,            0.005248
                  50,            0.051161,            0.065931,            0.010307,             0.51361,             0.35243,             0.36753,             0.19334,            0.054129,            0.086491,             0.01432,            0.005149,            0.005149,            0.005149
                  51,            0.051016,            0.065633,            0.010122,             0.50218,             0.34895,              0.3627,             0.19174,            0.054195,            0.086883,            0.014256,             0.00505,             0.00505,             0.00505
                  52,            0.051068,            0.066244,            0.010025,             0.47765,             0.36171,             0.36799,             0.19407,            0.053955,            0.086491,            0.014069,            0.004951,            0.004951,            0.004951
                  53,            0.050487,            0.065153,           0.0099331,             0.51593,             0.36562,             0.38232,             0.19779,            0.053887,            0.086249,             0.01408,            0.004852,            0.004852,            0.004852
                  54,            0.050789,            0.066124,            0.010067,              0.5002,             0.36122,             0.37414,             0.19634,            0.053885,            0.086386,            0.014344,            0.004753,            0.004753,            0.004753
                  55,            0.050258,            0.064965,           0.0098684,             0.52154,              0.3541,             0.37299,             0.19524,            0.053994,            0.086605,             0.01377,            0.004654,            0.004654,            0.004654
                  56,            0.050514,            0.065605,           0.0099238,             0.51988,             0.36893,             0.38108,             0.19983,             0.05383,            0.086324,            0.013844,            0.004555,            0.004555,            0.004555
                  57,            0.050295,            0.065666,            0.009729,             0.51429,              0.3612,             0.38232,             0.20063,            0.053655,            0.086237,            0.014452,            0.004456,            0.004456,            0.004456
                  58,            0.049864,            0.065118,            0.009507,             0.53518,             0.36111,             0.38096,             0.20244,            0.053597,            0.086357,            0.013989,            0.004357,            0.004357,            0.004357
                  59,            0.049983,            0.065209,           0.0097302,             0.53246,             0.35577,              0.3817,             0.20539,            0.053489,            0.086062,            0.013966,            0.004258,            0.004258,            0.004258
                  60,            0.049637,             0.06446,           0.0094377,             0.51247,             0.36676,             0.38699,             0.20366,            0.053512,            0.086044,            0.013888,            0.004159,            0.004159,            0.004159
                  61,            0.049844,            0.065534,            0.009651,             0.58577,             0.34255,             0.38321,             0.20518,            0.053427,            0.086175,            0.014467,             0.00406,             0.00406,             0.00406
                  62,            0.049608,            0.064904,           0.0096203,               0.529,             0.36571,             0.38443,              0.2064,            0.053334,            0.086325,            0.014125,            0.003961,            0.003961,            0.003961
                  63,            0.049382,            0.064551,           0.0094793,             0.51617,              0.3808,             0.38834,             0.20655,            0.053274,            0.085547,            0.013868,            0.003862,            0.003862,            0.003862
                  64,            0.049358,            0.064813,           0.0092551,             0.57242,             0.35119,             0.39172,             0.20863,            0.053438,            0.085835,            0.013957,            0.003763,            0.003763,            0.003763
                  65,             0.04912,            0.065084,           0.0092727,             0.49754,             0.38041,             0.38831,             0.20834,            0.053455,            0.086157,            0.014302,            0.003664,            0.003664,            0.003664
                  66,            0.049154,             0.06392,           0.0093295,             0.49321,             0.40571,             0.39728,             0.21407,            0.053119,            0.085626,            0.013647,            0.003565,            0.003565,            0.003565
                  67,            0.048985,            0.064609,           0.0091939,             0.51941,             0.36552,             0.38474,             0.20508,            0.053181,            0.086288,             0.01398,            0.003466,            0.003466,            0.003466
                  68,            0.049119,             0.06428,           0.0092788,             0.49996,             0.39772,             0.39316,              0.2081,            0.053047,             0.08577,            0.013685,            0.003367,            0.003367,            0.003367
                  69,            0.048811,            0.063999,           0.0090052,             0.58775,              0.3513,             0.38222,             0.20457,             0.05301,            0.085973,            0.013703,            0.003268,            0.003268,            0.003268
                  70,            0.048575,            0.063911,           0.0089449,             0.52414,             0.38169,             0.39073,             0.20715,            0.052936,            0.086186,            0.013944,            0.003169,            0.003169,            0.003169
                  71,            0.048474,            0.063263,            0.008983,             0.55858,             0.35773,             0.39018,             0.21025,            0.053097,             0.08622,            0.013773,             0.00307,             0.00307,             0.00307
                  72,             0.04843,            0.063096,            0.008999,             0.54479,             0.36683,             0.39413,             0.21076,            0.053147,            0.086676,            0.014201,            0.002971,            0.002971,            0.002971
                  73,            0.048275,            0.063793,           0.0088465,             0.53418,             0.38113,             0.40102,             0.21689,            0.053016,            0.085955,            0.013646,            0.002872,            0.002872,            0.002872
                  74,            0.048041,            0.062548,           0.0088021,             0.55739,             0.36506,             0.39461,             0.21214,            0.053004,            0.086248,            0.014014,            0.002773,            0.002773,            0.002773
                  75,            0.048294,            0.063447,           0.0089528,             0.52366,              0.3805,             0.40167,              0.2176,            0.052898,            0.085832,            0.013956,            0.002674,            0.002674,            0.002674
                  76,            0.048113,            0.062555,           0.0088808,             0.54154,             0.37289,             0.39931,             0.21852,             0.05285,            0.086143,            0.013854,            0.002575,            0.002575,            0.002575
                  77,            0.048132,            0.062565,           0.0086412,             0.52908,             0.37571,             0.39944,             0.21852,            0.052781,            0.085774,            0.013749,            0.002476,            0.002476,            0.002476
                  78,            0.047952,            0.062327,           0.0088915,             0.53178,             0.38343,             0.40976,             0.22405,              0.0526,            0.085943,            0.013558,            0.002377,            0.002377,            0.002377
                  79,            0.047841,            0.063395,           0.0085777,             0.58606,             0.36847,             0.39966,             0.21665,            0.052721,            0.085652,            0.013857,            0.002278,            0.002278,            0.002278
                  80,            0.047983,             0.06224,           0.0087826,             0.53236,             0.38535,             0.39734,             0.21692,             0.05279,            0.085683,            0.014013,            0.002179,            0.002179,            0.002179
                  81,            0.047905,            0.062152,           0.0086125,             0.53871,             0.37453,             0.40126,               0.216,            0.052727,            0.085897,            0.013664,             0.00208,             0.00208,             0.00208
                  82,             0.04769,            0.062072,           0.0085738,             0.52335,             0.38543,             0.40377,             0.22125,             0.05261,             0.08581,            0.013691,            0.001981,            0.001981,            0.001981
                  83,            0.047479,            0.062156,           0.0084911,              0.5549,             0.38402,             0.40639,             0.22158,            0.052603,            0.085653,             0.01375,            0.001882,            0.001882,            0.001882
                  84,            0.047451,            0.062342,           0.0083874,             0.53543,             0.39283,             0.40364,             0.21617,            0.052606,            0.085924,            0.013788,            0.001783,            0.001783,            0.001783
                  85,            0.047371,            0.061909,            0.008391,             0.55819,             0.37944,             0.40792,             0.22135,            0.052556,            0.085693,            0.013695,            0.001684,            0.001684,            0.001684
                  86,            0.047132,            0.061527,           0.0083789,             0.51831,             0.39285,             0.40631,             0.22166,            0.052679,             0.08619,            0.014132,            0.001585,            0.001585,            0.001585
                  87,            0.047065,            0.061654,           0.0083386,             0.54454,             0.37918,             0.40089,             0.21976,            0.052632,            0.085909,            0.014022,            0.001486,            0.001486,            0.001486
                  88,            0.047091,            0.061023,             0.00839,             0.57804,             0.37746,             0.40405,             0.21854,            0.052657,            0.086174,            0.013926,            0.001387,            0.001387,            0.001387
                  89,            0.047049,            0.060746,            0.008296,             0.53944,              0.3877,             0.40182,             0.22085,            0.052606,            0.086148,            0.013823,            0.001288,            0.001288,            0.001288
                  90,            0.046626,            0.060274,           0.0081559,             0.54519,             0.38937,             0.40292,             0.22209,            0.052618,            0.086544,            0.014052,            0.001189,            0.001189,            0.001189
                  91,            0.046809,            0.060862,           0.0082685,             0.56535,             0.37951,             0.40201,             0.22133,            0.052675,            0.086534,            0.014141,             0.00109,             0.00109,             0.00109
                  92,            0.046574,            0.060968,           0.0083793,             0.53768,             0.38426,             0.40104,                0.22,            0.052482,            0.086143,             0.01388,            0.000991,            0.000991,            0.000991
                  93,            0.046806,            0.061821,           0.0082013,             0.56767,             0.37445,              0.4035,             0.22089,             0.05256,            0.086456,             0.01396,            0.000892,            0.000892,            0.000892
                  94,            0.046932,            0.061736,           0.0082163,             0.55425,             0.38123,              0.4062,             0.22256,            0.052482,            0.086096,            0.013958,            0.000793,            0.000793,            0.000793
                  95,            0.046904,            0.061176,           0.0082736,             0.55779,             0.38866,              0.4101,             0.22415,            0.052536,            0.086481,            0.013847,            0.000694,            0.000694,            0.000694
                  96,            0.046523,            0.060456,           0.0080859,             0.54985,             0.38279,             0.40142,             0.21868,            0.052583,            0.086671,             0.01406,            0.000595,            0.000595,            0.000595
                  97,            0.046698,            0.059981,           0.0081468,             0.54736,             0.38427,             0.40418,             0.22154,            0.052574,            0.086677,             0.01402,            0.000496,            0.000496,            0.000496
                  98,            0.046473,            0.060635,           0.0081271,             0.55125,              0.3777,             0.40193,              0.2223,            0.052549,            0.086632,             0.01389,            0.000397,            0.000397,            0.000397
                  99,            0.046377,            0.059989,           0.0078901,              0.5515,             0.37929,               0.403,             0.22223,            0.052573,              0.0869,            0.014023,            0.000298,            0.000298,            0.000298
