               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11027,             0.11237,            0.052619,          0.00040857,            0.013132,          0.00029206,          7.6416e-05,             0.10301,             0.15309,            0.047793,            0.070638,           0.0032624,           0.0032624
                   1,             0.10149,             0.10063,            0.036858,          0.00040685,            0.012856,           0.0002363,          6.1965e-05,             0.10293,             0.16734,             0.04505,            0.040573,           0.0065304,           0.0065304
                   2,            0.092832,            0.088768,            0.030442,             0.61952,            0.036594,            0.020957,           0.0061081,            0.089683,             0.11804,            0.037059,            0.010442,           0.0097325,           0.0097325
                   3,            0.085551,            0.086916,            0.024425,              0.6296,            0.064356,            0.042445,            0.012542,            0.085895,             0.12653,            0.029623,            0.009703,            0.009703,            0.009703
                   4,            0.079239,             0.08582,            0.022113,             0.78264,             0.05793,            0.052186,            0.017622,            0.083421,             0.12427,            0.027443,            0.009703,            0.009703,            0.009703
                   5,            0.075195,            0.082901,            0.020738,             0.82377,            0.086294,            0.098343,            0.036032,            0.073002,             0.10317,            0.024893,            0.009604,            0.009604,            0.009604
                   6,            0.072081,            0.081485,            0.019995,             0.83312,            0.082932,             0.10065,            0.041277,            0.072453,             0.11316,            0.025154,            0.009505,            0.009505,            0.009505
                   7,            0.070267,            0.080755,            0.019101,             0.71993,             0.12397,             0.13214,            0.048901,            0.069791,             0.10231,            0.023693,            0.009406,            0.009406,            0.009406
                   8,            0.068432,            0.080407,            0.018309,             0.72782,             0.13188,             0.15909,            0.065007,            0.067418,            0.098871,             0.02186,            0.009307,            0.009307,            0.009307
                   9,            0.066946,            0.078671,               0.018,             0.18193,             0.22103,              0.1698,            0.070713,            0.067265,            0.098658,            0.021701,            0.009208,            0.009208,            0.009208
                  10,            0.065993,            0.077194,            0.017042,             0.25099,             0.23954,             0.18503,            0.074907,            0.067408,            0.096736,            0.020539,            0.009109,            0.009109,            0.009109
                  11,            0.064937,            0.076325,            0.016669,             0.25687,             0.23722,             0.19312,            0.078793,            0.064794,            0.096579,              0.0203,             0.00901,             0.00901,             0.00901
                  12,            0.063859,            0.075764,            0.016057,             0.27645,             0.24047,             0.20215,            0.089449,            0.064342,            0.097058,            0.019607,            0.008911,            0.008911,            0.008911
                  13,            0.062818,             0.07594,            0.015476,             0.45494,             0.24253,             0.21853,            0.095856,             0.06332,            0.094928,            0.019537,            0.008812,            0.008812,            0.008812
