               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11564,             0.10174,             0.55899,          0.00044476,            0.014295,          0.00027855,          7.7396e-05,             0.10651,             0.14632,             0.49265,            0.070638,           0.0032624,           0.0032624
                   1,             0.10687,             0.10892,             0.37398,          0.00046046,            0.014693,          0.00033301,          8.4229e-05,             0.10409,             0.15081,             0.46638,            0.040573,           0.0065304,           0.0065304
                   2,            0.097031,             0.09922,             0.28527,             0.30274,            0.024353,            0.013018,           0.0034082,             0.10007,             0.19079,             0.36186,            0.010442,           0.0097325,           0.0097325
                   3,            0.091025,            0.092889,             0.24947,             0.31856,            0.053135,            0.020451,           0.0057439,            0.095925,             0.29121,             0.41481,            0.009703,            0.009703,            0.009703
                   4,            0.085713,            0.090184,             0.22448,             0.50341,              0.1107,            0.064615,            0.019026,            0.083744,             0.12281,             0.27972,            0.009703,            0.009703,            0.009703
                   5,            0.081987,            0.087571,             0.20683,             0.22594,            0.055896,             0.04338,            0.013224,              0.0879,             0.20784,             0.32259,            0.009604,            0.009604,            0.009604
                   6,            0.079874,            0.086034,             0.19732,             0.14485,             0.12881,            0.076653,            0.024688,            0.081246,             0.11253,               0.292,            0.009505,            0.009505,            0.009505
                   7,            0.078266,            0.085584,             0.18749,              0.3549,              0.1004,            0.068093,            0.024508,            0.086951,               0.168,             0.34636,            0.009406,            0.009406,            0.009406
                   8,            0.076059,            0.085505,             0.18038,             0.14134,             0.15847,            0.089222,            0.029786,            0.079491,             0.11671,             0.33465,            0.009307,            0.009307,            0.009307
                   9,            0.074953,            0.083591,             0.17745,             0.27147,             0.18821,             0.14312,            0.049775,             0.07542,             0.10697,             0.22761,            0.009208,            0.009208,            0.009208
                  10,            0.073465,            0.082488,             0.16928,             0.22686,             0.20177,             0.14556,            0.051996,             0.07374,             0.10762,              0.2381,            0.009109,            0.009109,            0.009109
                  11,            0.073145,            0.081486,             0.16639,             0.28401,             0.22119,             0.17059,            0.060334,            0.072702,             0.10416,             0.21242,             0.00901,             0.00901,             0.00901
                  12,            0.072128,            0.081176,              0.1601,             0.31557,             0.21734,             0.19038,            0.071846,            0.070798,             0.10412,              0.2147,            0.008911,            0.008911,            0.008911
                  13,            0.070842,            0.081393,              0.1537,             0.26943,             0.23584,             0.17877,            0.065677,            0.071039,             0.10364,              0.2068,            0.008812,            0.008812,            0.008812
                  14,            0.070188,            0.080725,             0.15443,             0.30947,              0.2299,             0.19434,            0.072804,            0.070997,             0.10317,              0.2041,            0.008713,            0.008713,            0.008713
                  15,            0.069205,            0.080318,              0.1515,             0.27985,             0.22584,             0.17312,            0.062903,            0.071713,             0.10634,             0.22912,            0.008614,            0.008614,            0.008614
                  16,            0.069695,            0.079477,             0.14959,             0.34465,             0.26537,             0.22609,            0.087385,            0.069107,             0.10078,             0.19056,            0.008515,            0.008515,            0.008515
                  17,            0.068197,            0.078705,             0.14482,             0.34043,             0.24028,             0.20875,            0.084343,            0.068575,             0.10278,             0.19584,            0.008416,            0.008416,            0.008416
                  18,            0.067693,            0.078859,              0.1441,             0.35292,             0.27042,             0.23094,            0.086453,            0.067671,             0.10003,             0.18621,            0.008317,            0.008317,            0.008317
                  19,            0.067549,            0.079219,             0.13971,             0.35399,             0.23596,             0.19122,            0.076493,             0.07086,             0.10748,             0.20997,            0.008218,            0.008218,            0.008218
                  20,            0.066879,            0.078255,             0.13531,             0.40878,             0.24047,              0.2398,            0.094424,            0.068047,            0.099333,             0.18044,            0.008119,            0.008119,            0.008119
                  21,            0.066346,            0.077309,             0.13497,             0.40482,             0.26082,             0.25185,            0.097666,              0.0665,            0.098003,             0.18696,             0.00802,             0.00802,             0.00802
                  22,            0.065922,            0.077228,             0.13473,             0.38502,             0.26266,             0.23699,             0.09452,            0.067771,             0.10113,             0.19129,            0.007921,            0.007921,            0.007921
                  23,            0.065763,            0.077256,             0.13096,             0.39114,             0.27755,             0.26227,             0.10344,            0.066973,             0.09954,             0.18402,            0.007822,            0.007822,            0.007822
                  24,            0.065132,               0.078,             0.13176,             0.40461,             0.26465,             0.25308,             0.10253,            0.066205,            0.098205,             0.17974,            0.007723,            0.007723,            0.007723
